student_id,student_number,first_name,last_name,gender,date_of_birth,department_id,programme,level,admission_year
1,STU20230001,Chinedu,Adebayo,Male,2001-03-24,1,Computer Science,100,2021
2,STU20230002,Chinedu,Okafor,Male,2001-04-17,4,Economics,100,2022
3,STU20230003,Ngozi,Uche,Female,1998-03-23,4,Economics,400,2023
4,STU20230004,Emeka,Obi,Female,1999-02-13,3,Accounting,100,2023
5,STU20230005,Esther,Adebayo,Male,2005-09-04,3,Accounting,400,2021
6,STU20230006,Joy,Adeyemi,Female,2001-12-03,3,Accounting,100,2022
7,STU20230007,Adaeze,Obi,Male,2004-05-15,3,Accounting,300,2022
8,STU20230008,Amaka,Obi,Female,1999-10-21,3,Accounting,200,2022
9,STU20230009,Grace,Ibrahim,Female,2006-04-22,2,Mathematics,300,2021
10,STU20230010,Joy,Okafor,Female,2004-05-03,2,Mathematics,200,2023
11,STU20230011,Samuel,Uche,Female,2005-03-09,2,Mathematics,200,2022
12,STU20230012,Chioma,Adeyemi,Female,2004-06-08,3,Accounting,200,2024
13,STU20230013,Michael,Okafor,Male,2000-11-06,1,Computer Science,400,2021
14,STU20230014,David,Adeyemi,Female,2006-05-18,4,Economics,100,2021
15,STU20230015,Michael,Okeke,Male,2002-07-06,3,Accounting,400,2021
16,STU20230016,Daniel,Nwosu,Male,2002-11-17,3,Accounting,200,2022
17,STU20230017,Michael,Nwosu,Male,2003-08-01,3,Accounting,100,2023
18,STU20230018,Ngozi,Okafor,Male,1999-02-24,3,Accounting,400,2021
19,STU20230019,Emeka,Uche,Male,2002-09-28,2,Mathematics,400,2022
20,STU20230020,Chioma,Adebayo,Female,2003-08-17,2,Mathematics,400,2021
21,STU20230021,Ngozi,Eze,Female,1998-10-18,2,Mathematics,200,2022
22,STU20230022,Adaeze,Okafor,Male,1999-01-28,1,Computer Science,300,2021
23,STU20230023,Ifeanyi,Uche,Male,2006-03-24,2,Mathematics,400,2022
24,STU20230024,Michael,Ibrahim,Male,1999-02-22,4,Economics,400,2023
25,STU20230025,David,Uche,Male,1999-01-13,4,Economics,300,2021
26,STU20230026,Ngozi,Obi,Female,2000-07-06,2,Mathematics,300,2024
27,STU20230027,Joy,Eze,Female,2006-02-02,2,Mathematics,100,2021
28,STU20230028,Emeka,Ibrahim,Female,2005-04-28,2,Mathematics,400,2021
29,STU20230029,David,Okafor,Female,2002-08-10,2,Mathematics,400,2024
30,STU20230030,Ngozi,Adebayo,Male,1998-10-24,2,Mathematics,100,2023
31,STU20230031,Chinedu,Adeyemi,Female,2006-09-06,1,Computer Science,100,2021
32,STU20230032,Adaeze,Adeyemi,Male,2001-07-04,2,Mathematics,200,2021
33,STU20230033,David,Adeyemi,Female,2002-04-22,1,Computer Science,300,2022
34,STU20230034,David,Nwosu,Female,2005-06-25,3,Accounting,100,2021
35,STU20230035,Esther,Adeyemi,Male,1999-09-07,4,Economics,300,2022
36,STU20230036,Victor,Eze,Male,2003-05-06,3,Accounting,400,2023
37,STU20230037,Samuel,Olawale,Female,1999-03-09,1,Computer Science,100,2021
38,STU20230038,Ifeanyi,Adebayo,Male,2003-04-22,2,Mathematics,300,2024
39,STU20230039,Victor,Okafor,Male,2004-05-02,3,Accounting,100,2023
40,STU20230040,Samuel,Adebayo,Male,2005-09-23,2,Mathematics,400,2021
41,STU20230041,Adaeze,Nwosu,Male,2003-10-18,1,Computer Science,200,2024
42,STU20230042,Chinedu,Adebayo,Female,1998-06-07,2,Mathematics,200,2021
43,STU20230043,Michael,Olawale,Female,2000-04-28,3,Accounting,200,2022
